identifiant_agent,identifiant_institution,identifiant_agence,nom_agent,date_entree_fonction,date_sortie_fonction
AGT-0001,INS-001,AGE-001,Mamadou Sissoko,2022-10-11,
AGT-0002,INS-001,AGE-002,Rokia Dembele,2013-07-27,2015-03-04
AGT-0003,INS-001,AGE-003,Oumar Coulibaly,2022-06-28,
AGT-0004,INS-001,AGE-004,Salimata Cisse,2025-06-09,
AGT-0005,INS-001,AGE-005,Moussa Konate,2024-01-13,
AGT-0006,INS-001,AGE-006,Kadidia Keita,2016-10-21,
AGT-0007,INS-001,AGE-007,Ibrahim Maiga,2019-02-21,
AGT-0008,INS-001,AGE-008,Aminata Diakite,2020-11-10,
AGT-0009,INS-001,AGE-001,Modibo Sangare,2025-01-01,
AGT-0010,INS-001,AGE-002,Binta Diallo,2013-12-24,2024-08-30
AGT-0011,INS-001,AGE-003,Adama Toure,2025-03-06,
AGT-0012,INS-001,AGE-004,Mariam Traore,2014-05-14,
AGT-0013,INS-001,AGE-005,Bakary Sissoko,2024-11-14,
AGT-0014,INS-001,AGE-006,Awa Dembele,2023-07-04,2025-10-22
AGT-0015,INS-001,AGE-007,Seydou Coulibaly,2021-12-18,
AGT-0016,INS-001,AGE-008,Fatoumata Cisse,2023-10-16,2025-04-10
AGT-0017,INS-001,AGE-001,Mamadou Konate,2018-02-12,
AGT-0018,INS-001,AGE-002,Rokia Keita,2022-09-15,
AGT-0019,INS-001,AGE-003,Oumar Maiga,2025-06-20,
AGT-0020,INS-001,AGE-004,Salimata Diakite,2022-03-09,2024-04-11
AGT-0021,INS-001,AGE-005,Moussa Sangare,2021-03-30,2022-05-15
AGT-0022,INS-001,AGE-006,Kadidia Diallo,2023-08-21,
AGT-0023,INS-001,AGE-007,Ibrahim Toure,2023-04-09,2025-12-27
AGT-0024,INS-001,AGE-008,Aminata Traore,2013-05-05,2016-09-01
AGT-0025,INS-001,AGE-001,Modibo Sissoko,2016-02-14,
AGT-0026,INS-001,AGE-002,Binta Dembele,2015-04-16,
AGT-0027,INS-001,AGE-003,Adama Coulibaly,2020-06-03,
AGT-0028,INS-001,AGE-004,Mariam Cisse,2018-06-17,
AGT-0029,INS-001,AGE-005,Bakary Konate,2018-11-04,
AGT-0030,INS-001,AGE-006,Awa Keita,2023-03-28,
AGT-0031,INS-001,AGE-007,Seydou Maiga,2023-01-18,2025-10-17
AGT-0032,INS-002,AGE-009,Mamadou Sissoko,2018-01-14,2022-11-07
AGT-0033,INS-002,AGE-010,Rokia Dembele,2014-03-14,2021-09-21
AGT-0034,INS-002,AGE-011,Oumar Coulibaly,2019-09-28,2021-05-22
AGT-0035,INS-002,AGE-012,Salimata Cisse,2024-06-27,
AGT-0036,INS-002,AGE-013,Moussa Konate,2024-07-04,
AGT-0037,INS-002,AGE-014,Kadidia Keita,2022-12-01,
AGT-0038,INS-002,AGE-015,Ibrahim Maiga,2018-09-12,2021-10-25
AGT-0039,INS-002,AGE-016,Aminata Diakite,2019-03-28,
AGT-0040,INS-002,AGE-017,Modibo Sangare,2016-12-04,2021-09-13
AGT-0041,INS-002,AGE-018,Binta Diallo,2014-06-24,2021-11-09
AGT-0042,INS-002,AGE-019,Adama Toure,2013-07-14,
AGT-0043,INS-002,AGE-009,Mariam Traore,2015-11-07,
AGT-0044,INS-002,AGE-010,Bakary Sissoko,2014-05-03,
AGT-0045,INS-002,AGE-011,Awa Dembele,2014-09-30,2016-08-07
AGT-0046,INS-002,AGE-012,Seydou Coulibaly,2024-11-11,
AGT-0047,INS-002,AGE-013,Fatoumata Cisse,2022-01-24,
AGT-0048,INS-002,AGE-014,Mamadou Konate,2020-04-01,
AGT-0049,INS-002,AGE-015,Rokia Keita,2022-03-03,
AGT-0050,INS-002,AGE-016,Oumar Maiga,2017-10-02,
AGT-0051,INS-002,AGE-017,Salimata Diakite,2019-03-18,2023-06-24
AGT-0052,INS-002,AGE-018,Moussa Sangare,2020-02-18,2024-09-29
AGT-0053,INS-002,AGE-019,Kadidia Diallo,2017-08-27,2025-07-16
AGT-0054,INS-002,AGE-009,Ibrahim Toure,2013-05-28,
AGT-0055,INS-002,AGE-010,Aminata Traore,2017-03-11,
AGT-0056,INS-002,AGE-011,Modibo Sissoko,2020-11-10,2022-12-22
AGT-0057,INS-002,AGE-012,Binta Dembele,2024-12-30,
AGT-0058,INS-002,AGE-013,Adama Coulibaly,2022-09-24,
AGT-0059,INS-002,AGE-014,Mariam Cisse,2019-12-28,
AGT-0060,INS-002,AGE-015,Bakary Konate,2018-10-04,
AGT-0061,INS-002,AGE-016,Awa Keita,2025-01-22,
AGT-0062,INS-002,AGE-017,Seydou Maiga,2019-11-23,
AGT-0063,INS-002,AGE-018,Fatoumata Diakite,2023-12-09,2025-02-05
AGT-0064,INS-002,AGE-019,Mamadou Sangare,2017-03-12,2020-02-07
AGT-0065,INS-002,AGE-009,Rokia Diallo,2017-12-09,
AGT-0066,INS-002,AGE-010,Oumar Toure,2015-02-18,
AGT-0067,INS-002,AGE-011,Salimata Traore,2017-11-08,2025-11-07
